sID,ev_netsize,flood_netsize,tot_ev_units,tot_fl_units,dedicated.staffing,centralized.staffing,grantwriter_dummy,funding_external,funding_internal,med_hh_income_2019,total_pop2019.x,genrev2017.pc.dollars,pct_dem_2016
72715113,1,3,1,4,0,0,0,1,1,76444,56666,1279.0385769244344,27.94297
72715119,1,2,3,8,0,0,1,1,1,41896,25702,1085.2851918138667,24.52722
72715121,0,5,11,4,0,0,1,1,0,70474,27100,563.8376383763838,45.33112
72715126,0,0,1,3,0,0,1,0,1,62695,28376,1303.6721172822104,20.32552
72715131,0,0,1,3,0,0,1,0,1,104893,42543,813.8119079519545,40.12364
72715133,0,1,1,1,0,0,0,0,0,80525,31421,833.6462875147195,40.84727
72715136,1,1,5,4,0,0,0,0,0,70659,20867,308.86088081660034,65.19328
72715138,0,0,1,2,0,0,0,0,1,78942,27947,522.8468171896806,67.16389
72715144,0,0,1,2,1,1,0,1,1,48105,66258,4608.34918047632,12.64153
72715146,0,4,1,2,1,0,0,0,1,84157,25377,2205.934507625015,51.57056
72715155,3,0,3,6,1,1,1,1,1,51276,123195,1478.1038191485043,12.42072
72715156,3,5,5,2,1,1,0,0,1,62625,90643,861.0703529230055,47.42514
72715158,6,5,4,5,1,1,0,1,1,56878,110997,3658.188960061984,66.74261
72715159,1,5,7,3,0,0,0,1,1,64470,48917,1168.448596602408,9.377818
72715162,2,1,7,1,0,0,0,0,0,114681,74107,1473.9093472951272,22.98494
72715171,6,6,6,5,1,1,1,0,1,128447,30889,3629.7387419469715,49.70557
72715177,0,2,1,3,0,0,1,0,1,43621,67191,1126.043666562486,14.28571
72715178,0,0,2,1,0,0,0,0,0,121017,47896,426.0481042258226,47.42514
72715184,5,4,7,2,0,0,1,1,1,51104,47965,1285.3956009590327,38.48127
72715196,3,2,3,2,1,1,0,0,1,59450,182437,2436.013527957596,38.02327
72715207,0,1,1,2,0,0,1,1,1,29094,19009,1031.511389341891,29.94167
72715212,0,0,2,1,1,1,0,1,0,46609,46580,1370.4164877629883,24.16928
72715214,5,1,8,3,0,0,0,0,1,137867,49037,2645.8388563737585,24.53861
72715229,3,13,7,11,1,0,0,1,1,51590,242742,5032.590157451122,68.38274
72715232,7,3,5,5,1,1,1,1,1,93780,174775,1295.1852381633528,49.73376
72715236,3,1,1,2,1,1,0,1,1,89763,67985,981.4959182172538,45.65413
72715241,2,0,1,1,0,0,0,0,0,49284,40335,1511.4416759638032,24.89742
72715243,2,6,1,4,1,0,1,0,1,40633,53922,1536.311709506324,33.53528
72715250,5,5,2,1,1,1,0,0,1,106955,28016,3596.2307252998285,66.74261
72715251,6,2,2,2,1,1,1,1,1,54744,95166,2300.474959544375,38.02327
72715256,0,1,2,3,1,1,1,0,1,69087,41283,1593.1497226461256,29.50747
72715258,0,3,4,5,1,1,0,0,0,68277,24259,834.1646399274496,24.16928
72715260,0,1,4,3,1,1,0,0,0,49525,38531,1419.6620902649815,61.64019
72715263,5,0,2,2,1,1,0,1,0,78347,35672,977.4332810047096,30.64003
